pf, N, m, T, sigma, cut, g_sigma, error, RDF_CS, RDF_LJ
1.500e-01, 3.000e+03, 1.000e+00, 3.000e+00, 1.000e+00, 4.500e+00, 1.473e+00, 0.000e+00, 1.506e+00, 1.393e+00
1.500e-01, 3.000e+03, 1.000e+00, 3.100e+00, 1.000e+00, 4.500e+00, 1.467e+00, 0.000e+00, 1.506e+00, 1.393e+00
1.500e-01, 3.000e+03, 1.000e+00, 3.200e+00, 1.000e+00, 4.500e+00, 1.462e+00, 0.000e+00, 1.506e+00, 1.393e+00
1.500e-01, 3.000e+03, 1.000e+00, 3.300e+00, 1.000e+00, 4.500e+00, 1.455e+00, 0.000e+00, 1.506e+00, 1.393e+00
1.500e-01, 3.000e+03, 1.000e+00, 3.400e+00, 1.000e+00, 4.500e+00, 1.456e+00, 0.000e+00, 1.506e+00, 1.393e+00
1.500e-01, 3.000e+03, 1.000e+00, 3.500e+00, 1.000e+00, 4.500e+00, 1.432e+00, 0.000e+00, 1.506e+00, 1.393e+00
1.500e-01, 3.000e+03, 1.000e+00, 3.600e+00, 1.000e+00, 4.500e+00, 1.437e+00, 0.000e+00, 1.506e+00, 1.393e+00
1.500e-01, 3.000e+03, 1.000e+00, 3.700e+00, 1.000e+00, 4.500e+00, 1.431e+00, 0.000e+00, 1.506e+00, 1.393e+00
1.500e-01, 3.000e+03, 1.000e+00, 3.800e+00, 1.000e+00, 4.500e+00, 1.409e+00, 0.000e+00, 1.506e+00, 1.393e+00
1.500e-01, 3.000e+03, 1.000e+00, 3.900e+00, 1.000e+00, 4.500e+00, 1.408e+00, 0.000e+00, 1.506e+00, 1.393e+00
1.500e-01, 3.000e+03, 1.000e+00, 4.000e+00, 1.000e+00, 4.500e+00, 1.407e+00, 0.000e+00, 1.506e+00, 1.393e+00
2.000e-01, 3.000e+03, 1.000e+00, 1.300e+00, 1.000e+00, 4.500e+00, 2.036e+00, 0.000e+00, 1.758e+00, 1.522e+00
2.000e-01, 3.000e+03, 1.000e+00, 1.400e+00, 1.000e+00, 4.500e+00, 1.941e+00, 0.000e+00, 1.758e+00, 1.522e+00
2.000e-01, 3.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 1.875e+00, 0.000e+00, 1.758e+00, 1.522e+00
2.000e-01, 3.000e+03, 1.000e+00, 1.600e+00, 1.000e+00, 4.500e+00, 1.813e+00, 0.000e+00, 1.758e+00, 1.522e+00
2.000e-01, 3.000e+03, 1.000e+00, 1.700e+00, 1.000e+00, 4.500e+00, 1.763e+00, 0.000e+00, 1.758e+00, 1.522e+00
2.000e-01, 3.000e+03, 1.000e+00, 1.800e+00, 1.000e+00, 4.500e+00, 1.739e+00, 0.000e+00, 1.758e+00, 1.522e+00
2.000e-01, 3.000e+03, 1.000e+00, 1.900e+00, 1.000e+00, 4.500e+00, 1.714e+00, 0.000e+00, 1.758e+00, 1.522e+00
2.000e-01, 3.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 1.685e+00, 0.000e+00, 1.758e+00, 1.522e+00
2.000e-01, 3.000e+03, 1.000e+00, 2.100e+00, 1.000e+00, 4.500e+00, 1.670e+00, 0.000e+00, 1.758e+00, 1.522e+00
2.000e-01, 3.000e+03, 1.000e+00, 2.200e+00, 1.000e+00, 4.500e+00, 1.649e+00, 0.000e+00, 1.758e+00, 1.522e+00
2.000e-01, 3.000e+03, 1.000e+00, 2.300e+00, 1.000e+00, 4.500e+00, 1.636e+00, 0.000e+00, 1.758e+00, 1.522e+00
2.000e-01, 3.000e+03, 1.000e+00, 2.400e+00, 1.000e+00, 4.500e+00, 1.618e+00, 0.000e+00, 1.758e+00, 1.522e+00
2.000e-01, 3.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 1.607e+00, 0.000e+00, 1.758e+00, 1.522e+00
